Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,GP,W,L,ERA,WHIP,SV,Type,DraftedOutOf,link,id_type,player_id,notes,team_id
1971,3,6sd,67,FrRnd,20,Phillies,Y,,Larry Kiser (minors),LHP,,,,,,,,,,,,,4Yr,"University of North Carolina at Chapel Hill (Chapel Hill, NC)",/register/player.fcgi?id=kiser-001lar,baseball_reference_minor_league_id,kiser-001lar,NA,PHI
1971,3,6sd,68,FrRnd,21,Mets,Y,,Paul Bagnasco (minors),3B,,,,,,,,,,,,,4Yr,"Santa Clara University (Santa Clara, CA)",/register/player.fcgi?id=bagnas001pau,baseball_reference_minor_league_id,bagnas001pau,NA,NYM
1971,4,6sd,69,FrRnd,1,Senators,N,,Joe Barkauskas (minors),C,,,,,,,,,,,,,4Yr,"Lafayette College (Easton, PA)",/register/player.fcgi?id=barkau001jos,baseball_reference_minor_league_id,barkau001jos,NA,TEX
1971,4,6sd,70,FrRnd,2,Red Sox,N,,Duane Kuiper (minors),SS,4.0,1057,3379,1,.271,.641,,,,,,,4Yr,"Southern Illinois University Carbondale (Carbondale, IL)",/players/k/kuipedu01.shtml,baseball_reference_id,kuipedu01,NA,BOS
1971,4,6sd,71,FrRnd,3,Twins,Y,,Kenneth Braun (minors),SS,,,,,,,,,,,,,4Yr,"Western Kentucky University (Bowling Green, KY)",/register/player.fcgi?id=braun-002ken,baseball_reference_minor_league_id,braun-002ken,NA,MIN
1971,4,6sd,72,FrRnd,4,Cardinals,N,,Jim Jachym (minors),LHP,,,,,,,,,,,,,4Yr,"University of Connecticut (Storrs, CT)",/register/player.fcgi?id=jachym001jam,baseball_reference_minor_league_id,jachym001jam,NA,STL
1971,4,6sd,73,FrRnd,5,Dodgers,Y,,Roy Petersen (minors),OF,,,,,,,,,,,,,4Yr,"Colorado State University-Pueblo (Pueblo, CO)",/register/player.fcgi?id=peters003roy,baseball_reference_minor_league_id,peters003roy,NA,LAD
1971,4,6sd,74,FrRnd,6,Mets,Y,,John Severs (minors),OF,,,,,,,,,,,,,4Yr,"Clemson University (Clemson, SC)",/register/player.fcgi?id=severs001joh,baseball_reference_minor_league_id,severs001joh,NA,NYM
1971,5,6sd,75,FrRnd,1,Red Sox,Y,,Mike Hansen (minors),RHP,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",/register/player.fcgi?id=hansen000mik,baseball_reference_minor_league_id,hansen000mik,NA,BOS
1971,5,6sd,76,FrRnd,2,Twins,N,,Rich Mahlmann (minors),LHP,,,,,,,,,,,,,4Yr,"California State University, Fresno (Fresno, CA)",/register/player.fcgi?id=mahlma001ric,baseball_reference_minor_league_id,mahlma001ric,NA,MIN
1971,5,6sd,77,FrRnd,3,Dodgers,N,,Mike Siani (minors),SS,,,,,,,,,,,,,4Yr,"Villanova University (Villanova, PA)",/register/player.fcgi?id=siani-000mik,baseball_reference_minor_league_id,siani-000mik,NA,LAD
1971,5,6sd,78,FrRnd,4,Mets,N,,Alan Lobb (minors),LHP,,,,,,,,,,,,,4Yr,"Elizabethtown College (Elizabethtown, PA)",/register/player.fcgi?id=lobb--000ala,baseball_reference_minor_league_id,lobb--000ala,NA,NYM
1971,6,6sd,79,FrRnd,1,Red Sox,N,,Steve Prestridge (minors),RHP,,,,,,,,,,,,,4Yr,"Delta State University (Cleveland, MS)",/register/player.fcgi?id=prestr000ste,baseball_reference_minor_league_id,prestr000ste,NA,BOS
1971,6,6sd,80,FrRnd,2,Twins,Y,,Mike Ball (minors),3B,,,,,,,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",/register/player.fcgi?id=ball--001mic,baseball_reference_minor_league_id,ball--001mic,NA,MIN
1971,7,6sd,81,FrRnd,1,Red Sox,Y,,William Todd (minors),LHP,,,,,,,,,,,,,4Yr,"University of Missouri (Columbia, MO)",/register/player.fcgi?id=todd--001wil,baseball_reference_minor_league_id,todd--001wil,NA,BOS
1971,7,6sd,82,FrRnd,2,Twins,Y,,Clark Ullom (minors),LHP,,,,,,,,,,,,,4Yr,"University of Kansas (Lawrence, KS)",/register/player.fcgi?id=ullom-001cla,baseball_reference_minor_league_id,ullom-001cla,NA,MIN
